"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 15 08:06:55 UTC 2026","Sat Aug 15 08:06:56 UTC 2026","583","tests","test_grade","TestGrade","","","test_get_grades_stats_with_student_id_only",""
"passed","Sat Aug 15 08:06:49 UTC 2026","Sat Aug 15 08:06:49 UTC 2026","107","tests","test_grade","TestGrade","","","test_updated_grade_exists_in_list",""
"passed","Sat Aug 15 08:07:02 UTC 2026","Sat Aug 15 08:07:02 UTC 2026","3","tests","test_grade_contract","TestGradeContract","","","test_get_grades_stats_status_code_forbidden",""
"passed","Sat Aug 15 08:06:48 UTC 2026","Sat Aug 15 08:06:48 UTC 2026","108","tests","test_grade","TestGrade","","","Создание оценки и проверка её наличия в списке",""
"passed","Sat Aug 15 08:06:57 UTC 2026","Sat Aug 15 08:06:57 UTC 2026","582","tests","test_grade","TestGrade","","","test_get_grades_stats_with_group_id_only",""
"passed","Sat Aug 15 08:06:58 UTC 2026","Sat Aug 15 08:06:59 UTC 2026","790","tests","test_grade","TestGrade","","","test_get_grades_stats_with_teacher_id_and_student_id_params",""
"passed","Sat Aug 15 08:07:01 UTC 2026","Sat Aug 15 08:07:01 UTC 2026","12","tests","test_grade_contract","TestGradeContract","","","test_get_grades_stats_status_code_ok",""
"passed","Sat Aug 15 08:06:53 UTC 2026","Sat Aug 15 08:06:53 UTC 2026","59","tests","test_grade","TestGrade","","","test_get_grades_stats_without_params","
Проверяет, что эндпоинт статистики работает без параметров
Ожидаем: возвращает статистику по всем оценкам
"
"passed","Sat Aug 15 08:07:01 UTC 2026","Sat Aug 15 08:07:01 UTC 2026","2","tests","test_grade_contract","TestGradeContract","","","test_get_grades_status_code_forbidden",""
"passed","Sat Aug 15 08:07:01 UTC 2026","Sat Aug 15 08:07:01 UTC 2026","5","tests","test_grade_contract","TestGradeContract","","","test_get_grades_status_code_unauthorized",""
"passed","Sat Aug 15 08:07:03 UTC 2026","Sat Aug 15 08:07:03 UTC 2026","63","tests","test_teacher","TestTeacher","","","test_create_teacher",""
"passed","Sat Aug 15 08:06:54 UTC 2026","Sat Aug 15 08:06:55 UTC 2026","527","tests","test_grade","TestGrade","","","test_get_grades_stats_with_teacher_id_only",""
"passed","Sat Aug 15 08:07:02 UTC 2026","Sat Aug 15 08:07:02 UTC 2026","10","tests","test_grade_contract","TestGradeContract","","","test_get_grades_stats_status_code_bad_request",""
"passed","Sat Aug 15 08:06:50 UTC 2026","Sat Aug 15 08:06:50 UTC 2026","55","tests","test_grade","TestGrade","","","test_grade_update_preserves_id_and_updates_value","Проверяет, что при обновлении ID не меняется, а значение обновляется корректно"
"passed","Sat Aug 15 08:07:02 UTC 2026","Sat Aug 15 08:07:02 UTC 2026","6","tests","test_grade_contract","TestGradeContract","","","test_get_grades_stats_status_code_unauthorized",""
"passed","Sat Aug 15 08:07:00 UTC 2026","Sat Aug 15 08:07:00 UTC 2026","12","tests","test_grade_contract","TestGradeContract","","","test_get_grades_status_code_ok",""
"passed","Sat Aug 15 08:06:51 UTC 2026","Sat Aug 15 08:06:51 UTC 2026","102","tests","test_grade","TestGrade","","","test_delete_grade",""
"passed","Sat Aug 15 08:06:52 UTC 2026","Sat Aug 15 08:06:53 UTC 2026","314","tests","test_grade","TestGrade","","","test_get_grades_stats","
Проверяет, что эндпоинт статистики оценок возвращает корректные данные
"
"passed","Sat Aug 15 08:07:01 UTC 2026","Sat Aug 15 08:07:01 UTC 2026","10","tests","test_grade_contract","TestGradeContract","","","test_get_grades_status_code_bad_request",""
